h,w,ratio
72,63,0.875
64,66,0.9697
55,73,0.7534
73,57,0.7808
72,62,0.8611
76,60,0.7895
78,61,0.7821
77,65,0.8442
67,77,0.8701
63,67,0.9403
60,69,0.8696
66,69,0.9565
69,59,0.8551
60,73,0.8219
76,56,0.7368
60,63,0.9524
57,67,0.8507
52,66,0.7879
65,56,0.8615
72,52,0.7222
67,54,0.806
63,52,0.8254
73,71,0.9726
52,71,0.7324
72,68,0.9444
80,66,0.825
53,52,0.9811
65,48,0.7385
61,45,0.7377
59,55,0.9322
45,65,0.6923
47,64,0.7344
63,53,0.8413
78,62,0.7949
68,49,0.7206
70,61,0.8714
73,57,0.7808
66,75,0.88
82,65,0.7927
74,63,0.8514
80,72,0.9
70,80,0.875
67,80,0.8375
81,66,0.8148
93,74,0.7957
65,74,0.8784
83,93,0.8925
63,63,1.0
70,57,0.8143
54,75,0.72
