bpix,wpix,wpix_ratio
389.0,2731.0,0.8753205128205128
84.0,2988.0,0.97265625
439.0,4787.0,0.9159969383849981
249.0,4899.0,0.9516317016317016
197.0,2683.0,0.9315972222222222
99.0,2805.0,0.9659090909090909
164.0,2636.0,0.9414285714285714
60.0,2802.0,0.9790356394129979
174.0,2751.0,0.9405128205128205
50.0,2695.0,0.9817850637522769
118.0,2984.0,0.961960025789813
206.0,3058.0,0.9368872549019608
187.0,4475.0,0.9598884598884599
154.0,4466.0,0.9666666666666667
121.0,3649.0,0.9679045092838197
110.0,3058.0,0.9652777777777778
136.0,3309.0,0.960522496371553
81.0,3510.0,0.9774436090225563
61.0,3075.0,0.9805484693877551
367.0,3917.0,0.9143323996265172
70.0,3706.0,0.9814618644067796
389.0,4627.0,0.9224481658692185
191.0,3173.0,0.9432223543400713
156.0,1752.0,0.9182389937106918
105.0,1827.0,0.9456521739130435
206.0,1956.0,0.9047178538390379
60.0,1830.0,0.9682539682539683
112.0,1946.0,0.9455782312925171
249.0,1917.0,0.8850415512465374
156.0,1896.0,0.9239766081871345
161.0,2314.0,0.934949494949495
138.0,2227.0,0.9416490486257928
585.0,1963.0,0.7704081632653061
184.0,2636.0,0.9347517730496454
98.0,2439.0,0.9613716988569176
174.0,2776.0,0.9410169491525424
75.0,2522.0,0.9711205236811706
226.0,3122.0,0.9324970131421745
195.0,3227.0,0.9430157802454705
66.0,2574.0,0.975
109.0,2912.0,0.9639192320423701
255.0,2761.0,0.9154509283819628
127.0,3179.0,0.9615849969751966
258.0,2822.0,0.9162337662337663
159.0,3041.0,0.9503125
79.0,2405.0,0.9681964573268921
94.0,2822.0,0.967764060356653
175.0,2625.0,0.9375
410.0,2823.0,0.8731828023507578
58.0,2912.0,0.9804713804713805
207.0,2817.0,0.9315476190476191
119.0,2665.0,0.9572557471264368
92.0,3028.0,0.9705128205128205
171.0,3129.0,0.9481818181818182
265.0,3452.0,0.9287059456550982
243.0,2973.0,0.9244402985074627
90.0,2934.0,0.9702380952380952
134.0,2944.0,0.9564652371669915
185.0,3419.0,0.9486681465038845
158.0,2969.0,0.9494723377038695
320.0,3568.0,0.9176954732510288
