h,w,ratio
74,57,0.7703
81,48,0.5926
75,81,0.9259
77,78,0.9872
66,89,0.7416
68,60,0.8824
55,70,0.7857
73,54,0.7397
48,79,0.6076
71,55,0.7746
54,67,0.806
63,68,0.9265
75,47,0.6267
49,84,0.5833
61,67,0.9104
55,91,0.6044
43,71,0.6056
67,52,0.7761
56,70,0.8
73,71,0.9726
83,65,0.7831
63,78,0.8077
55,66,0.8333
75,60,0.8
57,74,0.7703
71,56,0.7887
53,68,0.7794
102,67,0.6569
99,74,0.7475
66,62,0.9394
84,81,0.9643
