bpix,wpix,wpix_ratio
180.0,3219.0,0.9470432480141218
151.0,3359.0,0.956980056980057
107.0,3237.0,0.9680023923444976
37.0,4193.0,0.9912529550827424
1081.0,5063.0,0.8240559895833334
288.0,3778.0,0.9291687161829808
334.0,3782.0,0.9188532555879495
567.0,4885.0,0.8960014673514307
99.0,2567.0,0.9628657164291072
66.0,2634.0,0.9755555555555555
423.0,3217.0,0.8837912087912088
164.0,2908.0,0.9466145833333334
241.0,4599.0,0.9502066115702479
91.0,4797.0,0.9813829787234043
214.0,4532.0,0.9549093973872735
58.0,3970.0,0.9856007944389275
376.0,4304.0,0.9196581196581196
225.0,2655.0,0.921875
447.0,3125.0,0.8748600223964166
208.0,3392.0,0.9422222222222222
199.0,3259.0,0.9424522845575477
294.0,3306.0,0.9183333333333333
80.0,2958.0,0.9736668861092824
77.0,3528.0,0.9786407766990292
164.0,4264.0,0.9629629629629629
418.0,4114.0,0.9077669902912622
59.0,3409.0,0.9829873125720877
280.0,3360.0,0.9230769230769231
175.0,3920.0,0.9572649572649573
474.0,3402.0,0.8777089783281734
133.0,3503.0,0.9634213421342134
115.0,3387.0,0.9671616219303255
569.0,3271.0,0.8518229166666667
88.0,3643.0,0.9764138300723667
361.0,3767.0,0.9125484496124031
224.0,3462.0,0.9392295170916983
141.0,3583.0,0.9621374865735768
258.0,3592.0,0.932987012987013
163.0,3463.0,0.9550468836183121
48.0,3219.0,0.9853076216712581
118.0,3182.0,0.9642424242424242
98.0,3472.0,0.9725490196078431
191.0,3625.0,0.9499475890985325
83.0,3661.0,0.9778311965811965
349.0,2951.0,0.8942424242424243
89.0,4047.0,0.9784816247582205
146.0,3928.0,0.9641629847815415
258.0,4204.0,0.9421783953384133
230.0,3375.0,0.9361997226074896
242.0,3328.0,0.9322128851540616
93.0,1909.0,0.9535464535464535
140.0,2156.0,0.9390243902439024
113.0,2267.0,0.9525210084033613
153.0,3009.0,0.9516129032258065
124.0,3131.0,0.9619047619047619
73.0,3021.0,0.9764059469941823
119.0,3013.0,0.9620051085568327
179.0,3154.0,0.9462946294629463
60.0,2775.0,0.9788359788359788
406.0,3533.0,0.896928154353897
283.0,2972.0,0.9130568356374807
191.0,3381.0,0.946528555431131
132.0,3364.0,0.9622425629290617
231.0,3101.0,0.930672268907563
74.0,3061.0,0.9763955342902711
173.0,2803.0,0.9418682795698925
414.0,2892.0,0.8747731397459165
32.0,2641.0,0.988028432472877
60.0,3044.0,0.9806701030927835
