h,w,ratio
61,65,0.9385
65,85,0.7647
92,65,0.7065
60,74,0.8108
63,65,0.9692
73,54,0.7397
55,74,0.7432
63,62,0.9841
80,60,0.75
68,53,0.7794
72,54,0.75
54,71,0.7606
62,59,0.9516
67,85,0.7882
70,86,0.814
91,66,0.7253
65,86,0.7558
66,90,0.7333
