h,w,ratio
60,52,0.8667
48,64,0.75
78,67,0.859
78,66,0.8462
48,60,0.8
66,44,0.6667
50,56,0.8929
54,53,0.9815
65,45,0.6923
61,45,0.7377
47,66,0.7121
48,68,0.7059
74,63,0.8514
66,70,0.9429
65,58,0.8923
66,48,0.7273
65,53,0.8154
57,63,0.9048
56,56,1.0
68,63,0.9265
59,64,0.9219
66,76,0.8684
58,58,1.0
36,53,0.6792
42,46,0.913
47,46,0.9787
45,42,0.9333
42,49,0.8571
38,57,0.6667
38,54,0.7037
55,45,0.8182
43,55,0.7818
49,52,0.9423
60,47,0.7833
59,43,0.7288
59,50,0.8475
53,49,0.9245
54,62,0.871
58,59,0.9831
44,60,0.7333
57,53,0.9298
52,58,0.8966
57,58,0.9828
55,56,0.9821
64,50,0.7812
54,46,0.8519
54,54,1.0
50,56,0.8929
53,61,0.8689
54,55,0.9818
56,54,0.9643
48,58,0.8276
65,48,0.7385
55,60,0.9167
59,63,0.9365
67,48,0.7164
56,54,0.9643
57,54,0.9474
68,53,0.7794
59,53,0.8983
72,54,0.75
