bpix,wpix,wpix_ratio
732.0,3233.0,0.8153846153846154
1084.0,4441.0,0.8038009049773756
1473.0,4507.0,0.7536789297658862
783.0,3657.0,0.8236486486486486
731.0,3364.0,0.8214896214896215
722.0,3220.0,0.8168442415017757
904.0,3166.0,0.7778869778869779
705.0,3201.0,0.8195084485407066
837.0,3963.0,0.825625
577.0,3027.0,0.8399001109877914
788.0,3100.0,0.7973251028806584
816.0,3018.0,0.7871674491392802
705.0,2953.0,0.8072717331875342
1067.0,4628.0,0.8126426690079017
1402.0,4618.0,0.7671096345514951
1441.0,4565.0,0.76007326007326
966.0,4624.0,0.8271914132379249
1130.0,4810.0,0.8097643097643098
